Title	URL	Assignees	Status	Target date	Start date
01 - Finaliser les Dockerfile (front et back)	https://github.com/2024-avril-devops-alt-dist/GeoChallenge-Tracker/issues/71	MarvinLeRouge		Sep 12, 2025	Jul 3, 2025
02 - Finaliser le docker-compose.yml complet	https://github.com/2024-avril-devops-alt-dist/GeoChallenge-Tracker/issues/72	MarvinLeRouge		Sep 12, 2025	Jul 3, 2025
03 - Configurer le déploiement sur Railway	https://github.com/2024-avril-devops-alt-dist/GeoChallenge-Tracker/issues/73	MarvinLeRouge		Sep 12, 2025	Jul 3, 2025
04 - Vérifier l’exécution end-to-end sur serveur distant	https://github.com/2024-avril-devops-alt-dist/GeoChallenge-Tracker/issues/74	MarvinLeRouge		Sep 12, 2025	Jul 3, 2025
05 - Rédiger un README.md clair et complet	https://github.com/2024-avril-devops-alt-dist/GeoChallenge-Tracker/issues/75	MarvinLeRouge		Sep 12, 2025	Jul 3, 2025
06 - Rédiger une doc technique (API + architecture)	https://github.com/2024-avril-devops-alt-dist/GeoChallenge-Tracker/issues/76	MarvinLeRouge		Sep 12, 2025	Jul 3, 2025
07 - Créer un mini-guide utilisateur	https://github.com/2024-avril-devops-alt-dist/GeoChallenge-Tracker/issues/77	MarvinLeRouge		Sep 12, 2025	Jul 3, 2025
08 - Ajouter une politique de sécurité minimale	https://github.com/2024-avril-devops-alt-dist/GeoChallenge-Tracker/issues/78	MarvinLeRouge		Sep 12, 2025	Jul 3, 2025
Finaliser le docker backend	https://github.com/2024-avril-devops-alt-dist/GeoChallenge-Tracker/issues/101			Aug 29, 2025	
01 - Désactiver les modules inachevés (si besoin)	https://github.com/2024-avril-devops-alt-dist/GeoChallenge-Tracker/issues/79	MarvinLeRouge		Sep 12, 2025	
02 - Corriger les bugs bloquants (UX, navigation, sécurité)	https://github.com/2024-avril-devops-alt-dist/GeoChallenge-Tracker/issues/80	MarvinLeRouge		Sep 12, 2025	
03 - Geler la version sur main	https://github.com/2024-avril-devops-alt-dist/GeoChallenge-Tracker/issues/81	MarvinLeRouge		Sep 12, 2025	
04 - Vérifier manuellement les parcours utilisateur	https://github.com/2024-avril-devops-alt-dist/GeoChallenge-Tracker/issues/82	MarvinLeRouge		Sep 12, 2025	
05 - Relire toute la documentation	https://github.com/2024-avril-devops-alt-dist/GeoChallenge-Tracker/issues/83	MarvinLeRouge		Sep 12, 2025	
06 - Compiler tous les livrables (PDF, code, doc)	https://github.com/2024-avril-devops-alt-dist/GeoChallenge-Tracker/issues/84	MarvinLeRouge		Sep 12, 2025	
07 - Préparer une capture ou vidéo de démo	https://github.com/2024-avril-devops-alt-dist/GeoChallenge-Tracker/issues/85	MarvinLeRouge		Sep 12, 2025	
08 - Créer un support de présentation	https://github.com/2024-avril-devops-alt-dist/GeoChallenge-Tracker/issues/86	MarvinLeRouge		Sep 12, 2025	
09 - Relire les compétences mobilisées une dernière fois	https://github.com/2024-avril-devops-alt-dist/GeoChallenge-Tracker/issues/87	MarvinLeRouge		Sep 12, 2025	
10 - Archiver le projet et les livrables	https://github.com/2024-avril-devops-alt-dist/GeoChallenge-Tracker/issues/88	MarvinLeRouge		Sep 12, 2025	
